RPM,300.0,350.0,400.0,450.0,503.3,550.0,600.0,650.0,750.0,850.0,851.0,852.0,853.0
5355,7.2,8.8,11.2,13.4,15.5,17.3,19.0,20.2,21.8,25.0,25.0,25.0,25.0
4242,10.2,12.0,13.6,16.0,17.3,20.0,23.2,25.0,28.0,34.0,34.0,34.0,34.0
3759,10.4,13.2,15.6,18.4,22.0,25.6,28.6,31.4,34.0,36.0,36.5,36.5,36.5
3507,10.2,12.4,15.0,18.0,22.8,25.8,28.8,32.0,34.9,36.5,36.5,36.5,36.5
3255,10.2,13.0,16.0,19.4,23.2,26.0,29.0,32.4,35.4,37.5,37.5,37.5,37.5
2751,11.2,14.0,18.0,21.0,24.0,27.0,30.0,33.2,36.3,37.5,37.5,37.5,37.5
2491,11.3,15.2,19.0,23.0,26.0,29.0,32.0,35.2,37.5,38.0,38.0,38.0,38.0
2247,12.4,15.6,19.0,22.0,25.0,28.0,31.0,34.2,37.0,38.0,38.0,38.0,38.0
1995,17.0,16.8,18.6,22.0,25.0,27.5,30.5,33.5,35.85,38.0,38.0,38.0,38.0
1743,19.0,21.1,24.9,26.0,28.0,31.0,34.0,36.7,38.0,38.0,38.0,38.0,38.0
1491,20.0,22.8,25.6,27.0,29.0,32.0,35.0,36.7,37.0,37.0,37.0,37.0,37.0
1260,22.8,24.0,25.0,26.0,28.0,31.0,33.0,35.0,35.7,35.7,35.7,35.7,35.7
1008,22.6,24.2,25.0,26.0,27.15,30.0,32.15,33.0,34.1,34.1,34.1,34.1,34.1
861,26.0,26.0,26.0,27.0,27.0,28.0,28.6,30.0,32.8,32.8,32.8,32.8,32.8
